Ad_link,location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
https://www.olx.in/item/main-road-nearby-1050-sqft-2-bhk-east-facing-furnished-flat-resale-iid-1678743744,"Ajit Sing Nagar, Vijayawada, Andhra Pradesh",['Apartments'],['1050'],['3'],['3'],['Furnished'],['Ready to Move'],['3'],['East'],"₹ 41,00,000"
https://www.olx.in/item/new-house-for-sale-near-sec9-iid-1682727272,"Shilp Nagar, Udaipur, Rajasthan",['Houses & Villas'],['4500'],['4+'],['4+'],['Unfurnished'],['Ready to Move'],['3'],['South-East'],"₹ 1,30,00,000"
https://www.olx.in/item/3bhk-30lakh-m-availablecall-nowww-iid-1683301287,"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['800'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 30,11,000"
https://www.olx.in/item/5-cent-premium-design-house-for-sale-sreekrishnapuram-ottapalam-iid-1684550149,"Ottapalam, Ottappalam, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 42,50,000"
https://www.olx.in/item/3bhk-fully-ventilatedready-to-move-flats-near-mgoel-hospitalgurgaon-iid-1683541214,"Sadar Bazar, Gurgaon, Haryana",['Builder Floors'],['1200'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],,"₹ 58,00,000"
https://www.olx.in/item/big-3bhk-flat-at-ravinanda-estate-magarpatta-at-7089lacs-only-iid-1683540823,"Magarpatta City, Pune, Maharashtra",['Apartments'],['1685'],['3'],['3'],['Furnished'],['Ready to Move'],['9'],['East'],"₹ 79,89,000"
https://www.olx.in/item/stylish-2bhk-flat-at-godrej-rivergreen-kharadi-at-5180-lacs-only-iid-1681630074,"Kharadi, Pune, Maharashtra",['Apartments'],['1064'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['5'],['East'],"₹ 51,80,000"
https://www.olx.in/item/awesome-2bhk-flat-at-ganga-aria-hadapsar-at-5260-lac-only-974-sqf-iid-1681528583,"Hadapsar, Pune, Maharashtra",['Apartments'],['974'],['2'],,['Semi-Furnished'],['Ready to Move'],['9'],['East'],"₹ 52,60,000"
https://www.olx.in/item/3bhk-in-mohali-iid-1678505935,"Sector 85, Mohali, Punjab",['Apartments'],['2200'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['7'],['North'],"₹ 1,06,00,000"
https://www.olx.in/item/3bhk-flat-on-sale-iid-1679476238,"Akanksha Nagar, Bharuch, Gujarat",['Apartments'],['1400'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 42,50,000"
https://www.olx.in/item/super-luxury-1-bhk-flat-sale-in-dwarka-mor-iid-1661623114,"Dwarka Mor, Delhi, Delhi",['Builder Floors'],['450'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],,,"₹ 14,50,000"
https://www.olx.in/item/b-101-radheshyam-residency-iid-1679049377,"Nikol - Naroda Road, Ahmedabad, Gujarat",['Apartments'],['1395'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 41,50,000"
https://www.olx.in/item/royal-look-house-for-sale-145-cent-pala-town-iid-1683045600,"Meenachil, Palai, Kerala",['Houses & Villas'],['2700'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['0'],,"₹ 1,25,00,000"
https://www.olx.in/item/2-bhk-ready-to-move-flat-in-gated-society-darpan-city-iid-1684298493,"Garden Colony, Kharar, Punjab",['Builder Floors'],['850'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['3'],['North-East'],"₹ 18,90,000"
https://www.olx.in/item/2bhk-flat-25-lac-3bhk-flat-37-lac-only-in-rajendra-park-gurgaon-iid-1675028544,"Sector 105, Gurgaon, Haryana",['Builder Floors'],['1350'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 37,00,000"
https://www.olx.in/item/3bhk-flat-in-railway-road-gurgaon-just-55-lac-only-iid-1675020655,"Sector 6, Gurgaon, Haryana",['Builder Floors'],['1350'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 55,00,000"
